AP50_fire,AP50_smoke,epoch,fpr_at_op,loss_bbox_ctrness,loss_bbox_regression,loss_classification,loss_scene,lr,mAP50,mAP50_95,op_threshold,recall_any_at_op,recall_fire_at_op,recall_smoke_at_op,scene_ap_fire,scene_ap_smoke,scene_fpr_fire,scene_fpr_smoke,seconds,skipped_batches,train_total
0.19459,0.4288,1,0.00559,0.65984,0.49609,0.49384,0.42733,9.99386e-05,0.3117,0.10667,0.6,0.1406,0.05405,0.12905,0.8795,0.92737,0.04145,0.38842,486.4,0,2.0771
0.25887,0.49985,2,0.00497,0.64991,0.40056,0.39981,0.34495,9.96435e-05,0.37936,0.13525,0.55,0.303,0.0473,0.30552,0.85023,0.86975,0.02464,0.24733,464.8,0,1.79523
0.26949,0.53993,3,0.00186,0.64626,0.38198,0.38026,0.32883,9.91059e-05,0.40471,0.15078,0.6,0.23978,0.02365,0.2521,0.8795,0.79352,0.02738,0.14896,466.1,0,1.73733
0.30519,0.54364,4,0.00994,0.64449,0.37143,0.36963,0.3221,9.83284e-05,0.42441,0.16305,0.55,0.52044,0.26577,0.46459,0.8795,0.93457,0.02659,0.33108,461.7,0,1.70765
0.34177,0.56375,5,0.00745,0.64249,0.36244,0.35983,0.31491,9.73148e-05,0.45276,0.18431,0.55,0.5346,0.35135,0.46218,0.87838,0.87935,0.02425,0.20967,462.1,0,1.67967
0.33954,0.57019,6,0.00745,0.64119,0.3539,0.35052,0.30336,9.60702e-05,0.45486,0.18526,0.5,0.59346,0.31757,0.55522,0.86261,0.83974,0.02034,0.15121,464.8,0,1.64897
0.36971,0.60243,7,0.00248,0.6412,0.35161,0.34279,0.29869,9.46007e-05,0.48607,0.1968,0.55,0.5188,0.29955,0.46339,0.92005,0.80732,0.0395,0.10624,470.9,0,1.63429
0.38179,0.6108,8,0.00124,0.63943,0.34598,0.33784,0.28991,9.29135e-05,0.4963,0.2072,0.6,0.34332,0.2455,0.26351,0.92117,0.87155,0.03833,0.16245,467.3,0,1.61316
0.40532,0.61819,9,0.0087,0.63881,0.34341,0.33485,0.28617,9.1017e-05,0.51175,0.21312,0.55,0.64087,0.38063,0.58884,0.88964,0.81873,0.02386,0.10455,474.2,0,1.60323
0.41394,0.6379,10,0.00373,0.63902,0.34016,0.32985,0.27937,8.89206e-05,0.52592,0.22304,0.55,0.60272,0.57207,0.45798,0.88626,0.85174,0.02503,0.11186,463.7,0,1.5884
0.41118,0.62319,11,0.00807,0.63797,0.33737,0.32939,0.27954,8.66345e-05,0.51719,0.21505,0.55,0.61144,0.34122,0.56242,0.88739,0.87035,0.02151,0.13491,462.5,0,1.58427
0.41867,0.63315,12,0.00186,0.63815,0.33584,0.32474,0.27597,8.41701e-05,0.52591,0.2195,0.6,0.35804,0.39414,0.21849,0.89414,0.84634,0.02112,0.10793,462.2,0,1.57469
0.41434,0.63824,13,0.00373,0.63702,0.33214,0.3212,0.26948,8.15395e-05,0.52629,0.22016,0.55,0.60109,0.50563,0.4988,0.88851,0.79772,0.01877,0.05902,467.8,0,1.55983
0.43166,0.66217,14,0.00186,0.63738,0.33056,0.31703,0.26788,7.87557e-05,0.54692,0.23184,0.55,0.58856,0.51914,0.46819,0.88739,0.93938,0.0176,0.21304,468.0,0,1.55286
0.43743,0.67324,15,0.00621,0.63701,0.32851,0.3169,0.26607,7.58325e-05,0.55534,0.2393,0.55,0.64469,0.56081,0.52761,0.87838,0.88295,0.01643,0.12198,472.5,0,1.5485
