AP50_fire,AP50_smoke,epoch,fpr_at_op,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_scene,lr,mAP50,mAP50_95,op_threshold,recall_any_at_op,recall_fire_at_op,recall_smoke_at_op,scene_ap_fire,scene_ap_smoke,scene_fpr_fire,scene_fpr_smoke,seconds,skipped_batches,train_total
0.3156,0.58314,1,0.00994,0.05662,0.073,0.05133,0.00309,0.4171,0.0001,0.44937,0.18367,0.95,0.30354,0.0,0.33133,0.69932,0.80792,0.01525,0.15402,707.8,0,0.60114
0.42808,0.61833,2,0.00435,0.06766,0.05715,0.00932,0.00248,0.32511,0.0001,0.5232,0.22225,0.9,0.4327,0.21622,0.39976,0.71959,0.7437,0.01486,0.07589,678.1,0,0.46172
0.44063,0.64283,3,0.00124,0.06599,0.05371,0.00818,0.0024,0.305,0.0001,0.54173,0.24455,0.95,0.32643,0.03266,0.34694,0.76239,0.71068,0.01447,0.05003,675.4,0,0.43527
0.4824,0.67182,4,0.00994,0.06621,0.05249,0.0074,0.00222,0.29397,0.0001,0.57711,0.24976,0.9,0.58529,0.2241,0.58343,0.83559,0.77311,0.02464,0.06633,667.4,0,0.42229
0.50214,0.68685,5,0.00932,0.06526,0.05114,0.00729,0.00217,0.2904,0.0001,0.59449,0.26649,0.85,0.71063,0.65766,0.65006,0.78491,0.85054,0.00899,0.09837,654.6,0,0.41627
0.50104,0.70309,6,0.00683,0.06508,0.05037,0.00672,0.00213,0.27791,0.0001,0.60207,0.27991,0.9,0.65286,0.28716,0.64586,0.8491,0.84934,0.02073,0.08544,653.6,0,0.4022
0.5369,0.69613,7,0.0087,0.06447,0.04861,0.00625,0.00205,0.26896,0.0001,0.61651,0.28966,0.9,0.71281,0.53378,0.66327,0.88401,0.90336,0.02855,0.13884,653.8,0,0.39034
0.53126,0.71602,8,0.00248,0.06379,0.04813,0.00618,0.00206,0.26586,0.0001,0.62364,0.28644,0.95,0.49755,0.26464,0.47479,0.84685,0.83013,0.01643,0.07307,653.3,0,0.38602
0.53597,0.70536,9,0.00745,0.06364,0.04756,0.00601,0.00202,0.25836,0.0001,0.62066,0.29277,0.95,0.50409,0.17005,0.503,0.85023,0.85174,0.01838,0.08319,654.4,0,0.37759
0.54962,0.73105,10,0.00807,0.06332,0.04668,0.00586,0.00196,0.26312,0.0001,0.64034,0.30338,0.85,0.79019,0.7455,0.7485,0.86036,0.85054,0.02073,0.07813,654.2,0,0.38093
0.55707,0.73615,11,0.00683,0.06251,0.04586,0.00567,0.00191,0.25767,0.0001,0.64661,0.30483,0.85,0.76839,0.68581,0.70588,0.88626,0.87335,0.02307,0.08488,655.5,0,0.37361
0.57196,0.75082,12,0.00559,0.06356,0.04584,0.00555,0.00193,0.24946,0.0001,0.66139,0.31308,0.95,0.64033,0.43018,0.59724,0.91554,0.92977,0.04106,0.13491,652.9,0,0.36633
0.58535,0.75685,13,0.00683,0.06229,0.04488,0.00531,0.00184,0.24664,0.0001,0.6711,0.32351,0.9,0.74278,0.56644,0.70108,0.91667,0.90156,0.04576,0.10343,653.7,0,0.36096
0.58154,0.75669,14,0.00932,0.06327,0.04526,0.00538,0.00193,0.24524,0.0001,0.66912,0.3206,0.85,0.80817,0.64414,0.77731,0.82658,0.91297,0.01173,0.10624,653.1,0,0.36107
0.5899,0.7535,15,0.00994,0.0617,0.04406,0.00513,0.00187,0.24073,0.0001,0.6717,0.32137,0.85,0.81035,0.76351,0.77551,0.90991,0.89076,0.03676,0.08375,652.8,0,0.35349
0.59054,0.77071,16,0.00559,0.06161,0.04382,0.00509,0.00182,0.24307,0.0001,0.68062,0.3305,0.9,0.75858,0.6295,0.71789,0.8795,0.92077,0.0219,0.11467,658.0,0,0.35541
0.5933,0.7764,17,0.0087,0.06188,0.0439,0.00498,0.00181,0.23462,0.0001,0.68485,0.33581,0.85,0.8485,0.71059,0.82773,0.90428,0.91837,0.02855,0.1113,656.6,0,0.34719
0.58758,0.77924,18,0.00559,0.06117,0.0428,0.00488,0.00181,0.23561,0.0001,0.68341,0.33449,0.95,0.68883,0.35248,0.67407,0.88401,0.95018,0.01916,0.14446,657.8,0,0.34626
0.59651,0.77812,19,0.00311,0.06078,0.04216,0.00486,0.0018,0.23331,0.0001,0.68731,0.34055,0.95,0.69646,0.50225,0.65246,0.90878,0.93938,0.03285,0.13097,657.2,0,0.34292
0.60308,0.78657,20,0.00994,0.06038,0.04162,0.00458,0.00172,0.23125,0.0001,0.69482,0.34062,0.8,0.88283,0.84234,0.85054,0.8964,0.90816,0.0219,0.09781,657.3,0,0.33954
0.60802,0.78571,21,0.00683,0.05963,0.0411,0.00464,0.00173,0.22724,0.0001,0.69686,0.338,0.9,0.83924,0.72297,0.80192,0.91779,0.91777,0.03559,0.10399,654.1,0,0.33434
0.61043,0.78464,22,0.00994,0.05909,0.04066,0.00463,0.00173,0.22757,0.0001,0.69754,0.34483,0.85,0.85668,0.73536,0.82353,0.90991,0.91897,0.03363,0.10961,652.1,0,0.33369
0.61857,0.79995,23,0.00497,0.05978,0.04058,0.00438,0.00171,0.22081,0.0001,0.70926,0.35279,0.9,0.85068,0.75225,0.80192,0.89527,0.88355,0.02503,0.06577,653.5,0,0.32726
